S.No,Geographical Indications,Goods,State,State 2,State 3,State 4,State 5,State 6,State 7
201,Muga Silk of Assam,Handicraft,Assam,,,,,,
202,Firozabad Glass,Handicraft,Uttar Pradesh,,,,,,
203,Kannauj Perfume,Manufactured,Uttar Pradesh,,,,,,
204,Kanpur Saddlery,Handicraft,Uttar Pradesh,,,,,,
205,Moradabad Metal Craft,Handicraft,Uttar Pradesh,,,,,,
206,Saharanpur Wood Craft,Handicraft,Uttar Pradesh,,,,,,
207,Dharmavaram Handloom Pattu Sarres And Paavadas,Handicraft,Andhra Pradesh,,,,,,
208,Warli Painting,Handicraft,Maharashtra,Gujarat,Dadara & Nagar Haveli,Daman Diu,,,
209,Kolhapur Jaggery,Agricultural,Maharashtra,,,,,,
210,Thewa Art Work,Handicraft,Rajasthan,,,,,,
211,Shaphee Lanphee,Handicraft,Manipur,,,,,,
212,Wangkhei Phee,Handicraft,Manipur,,,,,,
213,Moirang Phee,Handicraft,Manipur,,,,,,
214,Kangra Paintings,Handicraft,Himachal Pradesh,,,,,,
215,Nagpur Orange,Agricultural,Maharashtra,Madhya Pradesh,,,,,
216,Leather Toys of Indore,Handicraft,Madhya Pradesh,,,,,,
217,Bangalore Rose Onion,Agricultural,Karnataka,,,,,,
218,Meerut Scissors,Manufactured,Uttar Pradesh,,,,,,
219,Khurja Pottery,Handicraft,Uttar Pradesh,,,,,,
220,Naga Tree Tomato,Agricultural,Nagaland,,,,,,
221,Arunachal Orange,Agricultural,Arunachal Pradesh,,,,,,
222,Sikkim Large Cardamom,Agricultural,Sikkim,,,,,,
223,Mizo Chilli,Agricultural,Mizoram,,,,,,
224,Joynagar Moa,Food Stuff,West Bengal,,,,,,
225,Banaras Gulabi Meenakari Craft,Handicraft,Uttar Pradesh,,,,,,
226,Assam Karbi Anglong Ginger,Agricultural,Assam,,,,,,
227,Tripura Queen Pineapple,Agricultural,Tripura,,,,,,
228,Chengalikodan Nendran Banana,Agricultural,Kerala,,,,,,
229,Ratlami Sev,Food Stuff,Madhya Pradesh,,,,,,
230,Tezpur Litchi,Agricultural,Assam,,,,,,
231,Khasi Mandarin,Agricultural,Meghalaya,,,,,,
232,Kachai Lemon,Agricultural,Manipur,,,,,,
233,Makrana Marble,Natural Goods,Rajasthan,,,,,,
234,Varanasi Wooden,Handicraft,Uttar Pradesh,,,,,,
235,Mirzapur Handmade Dari,Handicraft,Uttar Pradesh,,,,,,
236,Memong Narang,Agricultural,Meghalaya,,,,,,
237,Nizamabad Black Pottery,Handicrafts,Uttar Pradesh,,,,,,
238,Basmati,Agricultural,Punjab,Haryana,Himachal Pradesh,Delhi,Uttarkhand,Uttar Pradesh,Jammu & Kashmir
239,Bagh Prints of Madhya Pradesh (Logo ),Handicrafts,Madhya Pradesh,,,,,,
240,Sankheda Furniture,Handicrafts,Gujarat,,,,,,
241,Kutch Embroidery,Handicrafts,Gujarat,,,,,,
242,Karnataka Bronzeware,Handicrafts,Karnataka,,,,,,
243,Ganjifa Cards of Mysore,Handicrafts,Karnataka,,,,,,
244,Navalgund Durries,Handicrafts,Karnataka,,,,,,
245,Thanjavur Art Plate,Handicrafts,Tamil Nadu,,,,,,
246,Swamimalai Bronze Icons,Handicrafts,Tamil Nadu,,,,,,
247,Temple Jewellery of Nagercoil,Handicrafts,Tamil Nadu,,,,,,
248,Ajara Ghansal Rice,Agricultural,Maharashtra,,,,,,
249,Mangalwedha Jowar,Agricultural,Maharashtra,,,,,,
250,Sindhudurg & Ratnagiri Kokum,Agricultural,Maharashtra,,,,,,
251,Agates of Cambay,Handicrafts,Gujarat,,,,,,
252,Guledgudd Khana,Handicrafts,Karnataka,,,,,,
253,Udupi Sarees,Handicrafts,Karnataka,,,,,,
254,Kuthampally Dhoties & Set Mundu,Handicrafts,Kerala,,,,,,
255,Waghya Ghevada,Agricultural,Maharashtra,,,,,,
256,Navapur Tur Dal,Agricultural,Maharashtra,,,,,,
257,Vengurla Cashew,Agricultural,Maharashtra,,,,,,
258,Lasalgaon Onion,Agricultural,Maharashtra,,,,,,
259,Maddalam of Palakkad,Handicrafts,Kerala,,,,,,
260,Brass Broidered Coconut Shell Craft of Kerala,Handicrafts,Kerala,,,,,,
261,Screw Pine Craft of Kerala,Handicrafts,Kerala,,,,,,
262,Sangli Raisins,Agricultural,Maharashtra,,,,,,
263,Parmigiano Reggiano,Manufactured,Italy,,,,,,
264,Banaras Metal Repouse Craft,Handicrafts,Uttar Pradesh,,,,,,
265,Beed Custard Apple,Agricultural,Maharashtra,,,,,,
266,Jalna Sweet Orange,Agricultural,Maharashtra,,,,,,
267,Uttarakhand Tejpat,Agricultural,Uttarakhand,,,,,,
268,Waigaon Turmeric,Agricultural,Maharashtra,,,,,,
269,Purandar Fig,Agricultural,Maharashtra,,,,,,
270,Jalgaon Bharit Brinjal,Agricultural,Maharashtra,,,,,,
271,Solapur Pomegranate,Agricultural,Maharashtra,,,,,,
272,Kashmiri Hand Knotted Carpet,Handicrafts,Jammu & Kashmir,,,,,,
273,Jamnagari Bandhani,Handicrafts,Gujarat,,,,,,
274,Prosecco,Manufactured,Italy,,,,,,
275,Mysore Silk,Handicrafts,Karnataka,,,,,,
276,Varanasi Glass beads,Handicrafts,Uttar Pradesh,,,,,,
277,Asiago,Food Stuff,Italy,,,,,,
278,Bhiwapur Chilli,Agricultural,Maharashtra,,,,,,
279,Ambemohar Rice,Agricultural,Maharashtra,,,,,,
280,Dahanu Gholvad Chikoo,Agricultural,Maharashtra,,,,,,
281,Jalgaon Banana,Agricultural,Maharashtra,,,,,,
282,Marathwada Kesar Mango,Agricultural,Maharashtra,,,,,,
283,Karvath Kati Sarees & Fabrics,Handicrafts,Maharashtra,,,,,,
284,Applique (Khatwa) Work of Bihar,Handicrafts,Bihar,,,,,,
285,Molela Clay Work  of Rajasthan,Handicrafts,Rajasthan,,,,,,
286,Bandar Laddu,Food Stuff,Andhra Pradesh,,,,,,
287,Joha Rice of Assam,Agricultural,Assam,,,,,,
